,x
1243_at,-0.194301794
1244_at,-0.010094518
1245_i_at,-0.090445846
1246_at,-0.002569406
1247_g_at,-0.016950984
1248_at,0.060498945
1249_at,0.009171602
1250_at,0.041474609
1251_g_at,0.092673483
1252_at,-0.089828626
1253_at,-0.043670635
1254_at,0.011386969
1255_g_at,0.028002788
1256_at,-0.006986053
1257_s_at,-0.049665316
1258_s_at,-0.025177361
1259_at,-0.010964849
126_s_at,0.8877969
1260_s_at,0.010951149
1261_i_at,-0.024463
1262_s_at,-0.120532309
1263_at,0.003411332
1264_at,0.11335694
1265_g_at,0.008340665
1266_s_at,0.002315599
1267_at,0.008157974
1268_at,-0.051596826
1269_at,-0.15816302
1270_at,0.020370312
1271_g_at,-0.018578961
1272_at,0.078944754
1273_r_at,0.038630055
1274_s_at,0.072207037
1275_at,0.03531355
1276_g_at,-0.124043419
1277_at,-0.016281734
1278_at,-0.575278571
1279_s_at,0.000387373
128_at,-0.02401953
1280_i_at,-0.000590106
1281_f_at,0.05433646
1282_s_at,-0.031097757
1283_at,0.023910122
1284_at,-0.104613786
1285_at,0.100049652
1286_s_at,0.049553443
1287_at,0.03579548
1288_s_at,-0.007245922
1289_at,0.00470982
129_g_at,-0.002088797
1290_g_at,0.000449867
1291_s_at,-0.018810227
1292_at,-0.030758598
1293_s_at,0.07007292
1294_at,-0.013420819
1295_at,0.009106542
1296_at,-0.001192711
1297_at,0.021056991
1298_at,-0.004691082
1299_at,0.050688357
130_s_at,0.005670616
1300_at,0.030076562
1303_at,0.029321385
1304_at,0.05052839
1305_s_at,-0.031248867
1306_at,0.012866293
1307_at,0.206400617
1308_g_at,0.050976617
1309_at,0.097867587
131_at,0.082114957
1310_at,0.063667829
1311_at,0.01806405
1312_at,0.076208005
1313_at,0.073633898
1314_at,0.062895135
1315_at,0.01910101
1316_at,0.000771409
1317_at,-0.003346652
1318_at,0.000934124
1319_at,-0.158652503
1320_at,-0.000890713
1321_s_at,-0.040134158
1322_at,0.003845974
1323_at,0.017352448
1324_at,0.028693251
1325_at,-0.200539154
1326_at,0.048829137
1327_s_at,0.146426764
1328_at,-0.002513984
1329_s_at,-0.028709053
133_at,0.02605295
1330_at,0.006536892
1331_s_at,0.014401604
1332_f_at,0.015580069
1333_f_at,0.008481444
1334_s_at,0.027022105
1335_at,-0.051434075
1336_s_at,0.287505455
1337_s_at,-0.00070341
